0.000000 0.000000 0.000000 0.000000
0.000160 0.000509 0.000343 -0.000409
0.000825 0.001112 0.001188 -0.000711
0.001996 0.001808 0.002533 -0.000907
0.003670 0.002594 0.004375 -0.001001
0.005848 0.003467 0.006713 -0.000995
0.008528 0.004424 0.009543 -0.000891
0.011708 0.005459 0.012863 -0.000695
0.015384 0.006566 0.016668 -0.000412
0.019554 0.007739 0.020953 -0.000048
0.024214 0.008971 0.025715 0.000391
0.029359 0.010254 0.030948 0.000899
0.034986 0.011578 0.036646 0.001466
0.041089 0.012935 0.042803 0.002084
0.047661 0.014313 0.049413 0.002746
0.054697 0.015704 0.056468 0.003440
0.062190 0.017094 0.063961 0.004157
0.070132 0.018474 0.071885 0.004887
0.078516 0.019830 0.080231 0.005619
0.087334 0.021150 0.088990 0.006342
0.096576 0.022422 0.098154 0.007044
0.106233 0.023633 0.107714 0.007714
0.116296 0.024769 0.117660 0.008339
0.126754 0.025817 0.127982 0.008908
0.137597 0.026764 0.138670 0.009408
0.148812 0.027597 0.149714 0.009828
0.160390 0.028303 0.161102 0.010156
0.172317 0.028869 0.172824 0.010378
0.184581 0.029283 0.184868 0.010484
0.197169 0.029531 0.197223 0.010461
0.209978 0.029649 0.209966 0.010345
0.223055 0.029736 0.223027 0.010231
0.236411 0.029794 0.236366 0.010123
0.250032 0.029823 0.249970 0.010021
0.263905 0.029823 0.263826 0.009922
0.278016 0.029793 0.277919 0.009827
0.292351 0.029733 0.292236 0.009735
0.306895 0.029642 0.306762 0.009644
0.321634 0.029521 0.321482 0.009555
0.336552 0.029370 0.336382 0.009466
0.351635 0.029188 0.351447 0.009377
0.366867 0.028975 0.366662 0.009287
0.382233 0.028733 0.382011 0.009194
0.397718 0.028460 0.397479 0.009099
0.413305 0.028158 0.413050 0.009001
0.428980 0.027828 0.428709 0.008899
0.444725 0.027468 0.444440 0.008793
0.460526 0.027081 0.460227 0.008682
0.476367 0.026667 0.476055 0.008565
0.492231 0.026226 0.491906 0.008442
0.508103 0.025760 0.507767 0.008314
0.523966 0.025269 0.523620 0.008178
0.539804 0.024755 0.539449 0.008036
0.555602 0.024218 0.555240 0.007887
0.571344 0.023659 0.570975 0.007731
0.587014 0.023080 0.586639 0.007568
0.602595 0.022482 0.602216 0.007397
0.618073 0.021866 0.617690 0.007220
0.633431 0.021234 0.633047 0.007035
0.648655 0.020586 0.648270 0.006844
0.663728 0.019924 0.663344 0.006647
0.678637 0.019250 0.678254 0.006443
0.693365 0.018565 0.692985 0.006234
0.707898 0.017870 0.707522 0.006020
0.722221 0.017167 0.721850 0.005800
0.736320 0.016458 0.735955 0.005577
0.750181 0.015744 0.749823 0.005349
0.763789 0.015027 0.763440 0.005119
0.777132 0.014309 0.776792 0.004886
0.790195 0.013591 0.789866 0.004651
0.802966 0.012874 0.802648 0.004415
0.815432 0.012161 0.815125 0.004178
0.827580 0.011454 0.827285 0.003942
0.839397 0.010753 0.839116 0.003707
0.850873 0.010061 0.850605 0.003473
0.861996 0.009379 0.861742 0.003242
0.872754 0.008709 0.872514 0.003014
0.883136 0.008053 0.882912 0.002790
0.893133 0.007412 0.892923 0.002570
0.902734 0.006788 0.902540 0.002355
0.911930 0.006183 0.911750 0.002147
0.920711 0.005599 0.920546 0.001945
0.929068 0.005036 0.928918 0.001750
0.936994 0.004496 0.936859 0.001563
0.944480 0.003981 0.944359 0.001384
0.951518 0.003492 0.951411 0.001215
0.958102 0.003030 0.958009 0.001054
0.964226 0.002598 0.964145 0.000904
0.969882 0.002195 0.969813 0.000764
0.975065 0.001823 0.975008 0.000634
0.979771 0.001483 0.979724 0.000516
0.983994 0.001177 0.983956 0.000409
0.987730 0.000904 0.987701 0.000315
0.990976 0.000667 0.990954 0.000232
0.993727 0.000464 0.993712 0.000161
0.995983 0.000298 0.995973 0.000104
0.997739 0.000168 0.997734 0.000058
0.998995 0.000075 0.998992 0.000026
0.999749 0.000019 0.999748 0.000006
1.000000 0.000000 1.000000 0.000000
